gene_id,symbol,alias
920,CD4,"CD4mut,IMD79,Leu-3,OKT4D,T4"
1440,CSF3,"C17orf33,CSF3OS,GCSF"
2922,GRP,"BN,GRP-10,preproGRP,proGRP"
850358,CDC10,None
2208,FCER2,"BLAST-2,CD23,CD23A,CLEC4J,FCE2,FCErII,IGEBF"
7039,TGFA,"T,F,G,A"
1594,CYP27B1,"CP2B,CYP1,CYP1alpha,CYP27B,P450c1,PDDR,VDD1,VDDR,VDDRI,VDR"
21819,Tg,"Tgn,cog"
3440,IFNA2,"IFN-alpha-2,IFN-alphaA,IFNA,IFNA2B,leIF A"
1401,CRP,"P,T,X,1"
1535,CYBA,"CGD4,p22-PHOX"
2159,F10,"FX,FXA"
2068,ERCC2,"COFS2,EM9,TFIIH,TTD,TTD1,XPD"
373156,GSTK1,"GST,GST 13-13,GST13,GST13-13,GSTK1-1,hGSTK1"
868,CBLB,"ADMIO3,Cbl-b,Nbla00127,RNF56"
4314,MMP3,"CHDS6,MMP-3,SL-1,STMY,STMY1,STR1"
12638,Cftr,"A,b,c,c,7"
1311,COMP,"CTS2,EDM1,EPD1,MED,PSACH,THBS5,TSP-5,TSP5"
7421,VDR,"NR1I1,PPP1R163"
19185,Psmd4,"Af1,Mcb1,angiocidin"
100038882,Isg15,"G1p2,IGI15,IP17,Irfp,UCRP"
100759794,Arsb,None
22060,Trp53-ps,None
69983,Sis,"2010204N08Rik,SI,Si-s"
3688,ITGB1,"CD29,FNRB,GPIIA,MDF2,MSK12,VLA-BETA,VLAB"
5324,PLAG1,"PSA,SGPA,SRS4,ZNF912"
855239,CLN1,None
12715,Ckm,"CPK-M,Ckmm,M-CK,MCK"
3119,HLA-DQB1,"CELIAC1,HLA-DQB,IDDM1"
4137,MAPT,"DDPAC,FTDP-17,MAPTL,MSTD,MTBT1,MTBT2,PPND,PPP1R103,TAU,Tau-PHF6,tau-40"
6948,TCN2,"D22S676,D22S750,II,TC,TC II,TC-2,TC2,TCII"
383,ARG1,None
12504,Cd4,"L3T4,Ly-4"
100857838,TG,None
847,CAT,None
2099,ESR1,"ER,ESR,ESRA,ESTRR,Era,NR3A1"
760,CA2,"CA-II,CAC,CAII,Car2,HEL-76,HEL-S-282"
1437,CSF2,"CSF,GMCSF"
3383,ICAM1,"BB2,CD54,P3.58"
